Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Aircraft,5333,6714,11618,15965,13193,12509,13945,13659,15966,10508,7208,7640,8101,11232,14586,12993,11893,12383,12600,14270,11938,17031,17165,17070,18504,19134,17150,17011,18125,17363,19694,21004,21296,20367,18309,17617,18074,18060,15701,17399,15411,12807,11979,10507,7368,9271,8702,14182,14523,11244,8201,9260,8097,9062,10501,8084,9451,11644,9809,9899,11878,15254,11660,10539,11413,12799,12320,13887,11534,13973,10982,936571
Air defence systems,,,42,42,56,197,358,480,605,1300,1523,1229,1335,1345,2217,2264,1868,1383,1344,2031,2032,2893,2915,3716,3166,3531,4497,6405,6205,4502,4116,3383,3313,2778,2350,3071,2262,3144,2977,2709,1487,1377,548,895,686,621,724,754,773,951,826,651,653,510,516,871,935,870,1271,1136,1081,1285,1143,1554,1257,1992,2500,1745,1343,879,343,121760
Armoured vehicles,1045,1010,2491,4138,2917,2120,3839,3341,3286,3299,3343,3054,3145,3128,3263,3853,3387,3676,3926,4641,5169,5506,5850,6014,6656,5089,4321,6754,8013,6437,5151,6503,7054,6937,7174,5722,5912,5470,4638,3554,3394,3683,3296,5286,3972,3659,3762,3544,2735,2950,2030,1733,2059,1999,1980,2031,3094,3652,3268,3448,3916,3628,3599,2730,2869,2627,3908,3134,3137,2360,2067,276383
Artillery,316,535,631,719,572,808,988,782,741,648,558,725,632,593,612,684,1200,978,1222,954,932,1008,892,926,826,932,830,741,564,488,722,1029,1312,1559,1443,1564,983,1121,1147,893,543,856,787,371,632,468,558,604,420,345,328,135,194,179,424,459,497,593,552,585,775,719,625,460,266,301,292,222,384,446,498,49330
Engines,468,773,818,1141,1003,1096,1511,1364,1196,942,501,267,272,431,423,359,489,447,459,427,499,775,1058,823,796,895,823,740,822,741,765,820,853,807,747,658,716,583,723,835,751,662,595,651,621,647,685,571,533,586,558,592,578,714,948,781,661,773,983,954,1106,1160,1332,1445,1443,1532,1589,1436,1702,1906,1529,59892
Missiles,,,,,,57,55,59,737,1086,727,891,1178,1302,1628,1602,1559,1402,2086,2053,1378,1497,2157,2709,2862,2958,2988,3349,3830,3330,3845,4310,4584,4019,3879,4360,4687,4898,4751,4417,4153,3816,2269,3384,2908,2857,2963,2836,3904,3021,2545,2093,2426,2054,2404,2567,3186,3119,3221,3002,2632,3013,3504,4156,3218,3298,4447,4660,4056,3704,3132,185779
Naval weapons,1,12,,133,40,129,148,181,103,140,169,114,74,108,302,157,82,87,112,69,46,22,132,86,96,132,114,130,189,148,197,239,260,354,242,180,224,289,353,420,242,334,210,236,221,193,283,154,229,140,159,77,158,265,330,262,230,191,214,115,171,145,226,207,295,185,161,177,228,156,151,12357
Other,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,20,6,6,6,,,24,109,89,56,25,69,87,38,57,32,22,48,59,155,146,100,130,187,255,228,155,315,321,185,137,196,199,124,146,198,237,236,328,284,297,236,163,193,110,140,123,454,315,7053
Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,100,,100,100,50,50,50,500
Sensors,25,4,74,242,393,410,391,373,363,273,445,554,701,776,983,954,1072,1025,767,848,605,525,598,364,359,719,937,728,796,1003,1310,1588,1536,1911,1978,1607,1375,1546,1828,1675,1461,1522,1339,1292,1370,1332,1199,988,1163,1104,989,1146,1166,1163,1283,1346,1447,1535,1354,1138,1259,1477,1614,1761,1636,1798,1580,1141,1066,1150,796,74276
Ships,952,2450,859,1647,2197,2821,3027,3317,2702,3467,3034,2044,2148,1382,2422,2228,3387,4053,3392,3187,2911,3226,3336,4115,3467,3767,3642,3913,4017,3824,5890,6424,5504,5239,5414,3348,4746,4261,4504,3306,2888,3026,3086,3162,5063,3755,4721,5023,3366,4522,3349,2847,2359,2886,2749,4965,5087,4040,3241,3740,2610,3078,3995,4086,4412,3912,4430,5119,3405,2027,2969,249486
Total,8139,11497,16533,24027,20371,20147,24262,23556,25699,21663,17508,16519,17588,20299,26437,25096,24940,25436,25908,28481,25510,32484,34123,35829,36738,37164,35301,39772,42584,37945,41778,45356,45737,44041,41623,38165,39038,39403,36644,35257,30389,28238,24256,25884,22969,22990,23853,28883,27801,25176,19307,18719,17826,19027,21333,21540,24735,26615,24149,24253,25757,30043,27995,27174,27073,28638,31438,31762,27028,27105,22831,1973386
