Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,,,,,,4,7,89,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,281,360,352,382,294,236,368,153,287,561,1046,2152,1871,1411,,,,,,,,,,,34,,,35,3,41,150,344,377,661,523,235,288,116,174,252,349,382,227,16391
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,,,0,4,,79
Albania,20,10,11,20,22,132,98,42,47,129,57,74,42,12,8,140,74,163,265,297,250,332,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,4,2,5,,2771
Algeria,,,,,,,,,,,,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1048,1264,1823,1342,1388,1357,701,659,368,146,369,320,455,734,1035,20,20,182,296,83,37,98,370,403,540,248,195,242,159,340,507,1517,1070,835,1125,661,362,620,898,2903,1128,1284,164,549,32139
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,241,181,105,146,111,153,241,381,574,479,528,703,1187,965,152,141,,,122,111,1,44,7,150,358,147,156,148,48,8,39,7,31,29,20,,,,30,2,47,152,110,272,169,42,8535
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,146,430,223,248,369,400,241,450,260,489,192,437,441,440,856,412,1316,680,447,226,226,74,14,169,,27,,209,43,28,105,171,275,213,6,14,11,169,3,9,24,23,11,11,15,3,12,7,21,17,47,21,48,7,12088
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,916
Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,384,548,920,714,778,460,828,240,319,60,704,885,96,81,268,1019,191,404,449,129,631,620,509,815,593,744,694,355,216,364,448,262,64,597,35,542,673,338,1236,663,801,472,461,728,679,444,778,1513,1557,867,245,906,1464,1026,1653,1557,1184,1658,42598
Austria,,,,2,,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,99,123,93,22,22,6,12,,8,72,195,73,97,145,14,29,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,83,43,57,25,4,269,190,286,7,8,8,6,2,1,13,8,5,15,13,3737
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,159,213,33,145,155,557,371,385,624,335,274,290,365,44,29,4203
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,163
Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,0,1,,,2,9,8,19,40,59,10,131,55,134,250,137,71,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,103,1,26,72,1,17,26,29,65,15,15,2682
Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,62,128,109,59,63,4,1,242,301,187,79,113,44,61,119,7,27,1,186,203,281,33,8,32,10,221,88,12,,36,117,184,649,203,633,444,325,151,754,46,6623
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,40
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,96,115,147,142,331,13,1367
Belgium,198,485,972,1098,604,361,682,680,897,179,92,132,188,569,644,507,101,35,216,233,509,489,492,580,111,128,177,180,421,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,48,21,15,3,27,174,203,90,32,21,32,46,104,56,4,7,1,9,86,18439
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,2,,,,,4
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,6,,,10,3,1,3,,1,0,0,,,,,,,1,,,,,,7,,,,,3,,1,0,0,20,2,,,,,,,1,93
Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,,,,3
Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,54,39,30,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,767
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,70,2,25,,,,,,,,,,,,,,,,,,1,,1,1,169
