country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,01-01-2021,-23,11,-6,-11,-29,14
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,02-01-2021,-31,7,-19,-10,-8,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,03-01-2021,-32,1,-13,-5,0,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,04-01-2021,-28,9,-17,-9,-16,12
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,05-01-2021,-29,7,-18,-10,-19,12
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,06-01-2021,-26,11,-16,-8,-14,12
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,07-01-2021,-25,12,-13,-9,-15,12
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,08-01-2021,-25,15,-13,-9,-14,12
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,09-01-2021,-27,11,-14,-10,-10,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,10-01-2021,-26,8,-7,-6,3,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,11-01-2021,-24,14,-10,-11,-16,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,12-01-2021,-24,14,-10,-10,-19,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,13-01-2021,-24,16,-15,-9,-20,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,14-01-2021,-33,-5,-14,-24,-41,13
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,15-01-2021,-33,-1,-17,-23,-32,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,16-01-2021,-33,-3,-19,-20,-19,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,17-01-2021,-32,-5,-14,-14,-9,6
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,18-01-2021,-28,4,-15,-17,-22,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,19-01-2021,-28,3,-15,-18,-23,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,20-01-2021,-27,6,-17,-16,-20,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,21-01-2021,-27,5,-15,-16,-19,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,22-01-2021,-27,8,-15,-15,-18,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,23-01-2021,-29,4,-15,-14,-12,9
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,24-01-2021,-29,1,-8,-10,-2,7
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,25-01-2021,-24,9,-8,-14,-21,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,26-01-2021,-25,3,-1,-21,-50,16
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,27-01-2021,-27,8,-14,-12,-17,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,28-01-2021,-27,6,-13,-14,-19,11
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,29-01-2021,-27,13,-16,-13,-16,10
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,30-01-2021,-28,12,-17,-10,-7,7
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,31-01-2021,-28,10,-12,-6,-2,5
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,01-02-2021,-25,15,-14,-11,-19,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,02-02-2021,-24,16,-14,-10,-20,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,03-02-2021,-25,15,-19,-10,-17,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,04-02-2021,-26,11,-19,-13,-19,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,05-02-2021,-25,18,-18,-11,-17,8
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,06-02-2021,-26,14,-19,-9,-8,6
IN,India,,,,,,ChIJkbeSa_BfYzARphNChaFPjNc,07-02-2021,-25,9,-11,-5,-6,5
